age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
1.500196551409896,admin.,married,secondary,no,0.0906,no,no,unknown,gr2,EndQuarter,-0.1309798203067815,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,no
-0.013128091818039036,retired,divorced,primary,no,-0.755,yes,no,unknown,gr3,MidQuarter,2.2803889245162123,-0.18665583730843463,0.5756526124874459,-0.36539727443041087,unknown,yes
1.4161229601194552,services,married,primary,no,-0.5737,no,no,unknown,gr3,EndQuarter,-0.6109265548011048,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,no
-0.6857168221415657,admin.,single,secondary,no,0.1207,yes,no,unknown,gr3,MidQuarter,0.7823733592763549,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,no
1.500196551409896,housemaid,married,secondary,no,-0.3623,no,no,cellular,gr3,MidQuarter,-0.6109265548011048,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,no
1.4161229601194552,management,married,tertiary,no,-0.483,no,no,cellular,gr1,EndQuarter,0.14535314803843488,-0.5668284277387787,-1.7307430189418174,0.9279501606910632,success,yes
-1.022011187303329,management,single,tertiary,no,-0.151,yes,no,cellular,gr3,EndQuarter,-0.41022155673984234,-0.5668284277387787,-1.750650256204462,0.49683434898390505,success,yes
-0.9379375960128883,admin.,divorced,secondary,no,-0.5737,yes,yes,unknown,gr3,MidQuarter,-0.18042887780013603,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,no
-0.6857168221415657,blue-collar,single,primary,no,-0.2113,no,no,cellular,gr3,EarlyQuarter,-0.31714097792882207,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,no
0.07094549947240181,technician,divorced,secondary,no,-0.634,yes,no,unknown,gr2,MidQuarter,0.28788278434280967,-0.18665583730843463,0.5756526124874459,-0.36539727443041087,unknown,no
-0.7697904134320066,technician,single,tertiary,no,-0.2415,no,no,cellular,gr3,MidQuarter,-0.4014952524763092,0.5736893435522535,0.5756526124874459,-0.36539727443041087,unknown,no
-0.8538640047224474,admin.,married,secondary,no,-0.332,no,no,unknown,gr3,MidQuarter,-0.35786373115864345,0.19351675312190947,0.5756526124874459,-0.36539727443041087,unknown,no
-1.4423791437555333,student,single,secondary,no,0.2717,no,no,cellular,gr3,EarlyQuarter,-0.6022002505375716,-0.5668284277387787,-1.9952248854312395,0.49683434898390505,success,yes
-0.013128091818039036,management,married,tertiary,no,0.6943,yes,no,cellular,gr3,MidQuarter,-0.8058140166866784,-0.18665583730843463,0.5756526124874459,-0.36539727443041087,unknown,no
-0.7697904134320066,admin.,married,secondary,no,-0.5737,no,yes,cellular,gr3,EarlyQuarter,-0.9367085806396757,-0.18665583730843463,0.5756526124874459,-0.36539727443041087,unknown,no
-0.3494224569798024,management,single,tertiary,no,-0.604,yes,no,cellular,gr3,EndQuarter,-0.5411161206928395,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,yes
-1.022011187303329,services,divorced,secondary,no,-0.634,yes,no,cellular,gr3,MidQuarter,2.6381673993210715,0.19351675312190947,0.5756526124874459,-0.36539727443041087,unknown,yes
