age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
-0.09720168310847987,blue-collar,married,secondary,no,-0.604,yes,no,unknown,gr3,MidQuarter,3.8394886196008016,-0.18665583730843463,0.5756526124874459,-0.36539727443041087,unknown,yes
-0.26534886568936156,management,married,tertiary,no,-0.4226,yes,no,telephone,gr2,EarlyQuarter,-0.6341966995038598,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,yes
1.2479757775385736,management,divorced,tertiary,no,1.237,yes,no,unknown,gr3,EndQuarter,0.34314937801185297,0.5736893435522535,0.5756526124874459,-0.36539727443041087,unknown,yes
1.9205645078621003,retired,married,secondary,no,1.812,yes,no,cellular,gr3,EndQuarter,1.777172045319134,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,yes
-0.6016432308511249,management,single,tertiary,no,1.087,yes,no,cellular,gr3,MidQuarter,0.8056435039791099,-0.18665583730843463,0.5756526124874459,-0.36539727443041087,unknown,yes
-1.6945999176268558,student,single,secondary,no,-0.5435,no,no,telephone,gr3,MidQuarter,0.02027612026112641,0.9538619339825977,-2.000912667506281,0.49683434898390505,success,yes
0.491313455924606,blue-collar,married,secondary,no,0.4226,yes,no,telephone,gr3,EarlyQuarter,-0.7970877124231454,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,no
0.5753870472150469,blue-collar,married,primary,no,-0.3923,no,no,cellular,gr3,MidQuarter,-0.09316583516480455,0.19351675312190947,-1.2103109590755348,3.083529219226853,failure,no
0.32316627334372433,management,divorced,secondary,no,-0.2717,yes,no,unknown,gr3,EndQuarter,0.7591032145735997,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,yes
1.3320493688290145,management,married,tertiary,no,0.2113,no,no,cellular,gr3,MidQuarter,0.7852821273641992,-0.5668284277387787,0.5756526124874459,-0.36539727443041087,unknown,yes
-1.1901583698842109,student,single,secondary,no,1.812,no,no,cellular,gr2,EndQuarter,-0.5731125696591278,-0.5668284277387787,-1.750650256204462,0.0657185372767471,failure,yes
0.40723986463416517,management,married,tertiary,no,-0.634,no,no,cellular,gr3,EndQuarter,1.0005309658646835,-0.18665583730843463,-1.9525665198684294,0.9279501606910632,unknown,yes
1.1639021862481327,admin.,married,primary,no,-0.453,no,no,cellular,gr3,EndQuarter,-0.7214597421391913,0.19351675312190947,0.5756526124874459,-0.36539727443041087,unknown,no
-1.10608477859377,admin.,single,secondary,no,-0.5435,no,no,cellular,gr3,EndQuarter,2.7981496441525127,-0.18665583730843463,0.5756526124874459,-0.36539727443041087,unknown,yes
1.2479757775385736,unemployed,married,secondary,no,-0.2717,yes,no,unknown,gr3,EndQuarter,-0.8727156827070993,0.19351675312190947,0.5756526124874459,-0.36539727443041087,unknown,no
